lean and performance supervisor - vie contract (w/m),2023/3/10,china,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Hangzhou/Lean-and-Performance-Supervisor---VIE-Contract--W-M-_R2687017-1
legal counsel greater china,2023/3/10,china mainland,https://swarovski.wd3.myworkdayjobs.com/swarovski/job/Shanghai-CHN/Legal-Counsel-Greater-China_R-78299-1
senior legal director amea & china region chc gbu,2023/3/13,singapore,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/City-of-Singapore/Senior-Legal-Director-AMEA---CHINA-Region-CHC-GBU_R2662380-1
"senior manager, contract management (cm) operations",2023/3/13,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/Senior-Manager--Contract-Lifecycle-Management--CLM--Operations_R16948
training specialist (legal tech/solutions),2023/3/14,hong kong,https://relx.wd3.myworkdayjobs.com/LexisNexisLegal/job/Hong-Kong/Customer-Success-Specialist_R51696
"senior analyst, it governance risk and compliance",2023/3/14,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/Senior-Analyst--IT-Governance-Risk-and-Compliance_R16316
meetings and groups assistant planner- fixed term contract,2023/3/15,hong kong,https://travelhrportal.wd1.myworkdayjobs.com/Jobs/job/Hong-Kong---Hong-Kong/Meetings-and-Groups-Assistant-Planner_J-59746
finance compliance supervisor,2023/3/16,china,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers/job/China---Beijing---Beijing/Finance-Compliance-Supervisor_4880249
accountant legal entity,2023/3/16,china,https://cat.wd5.myworkdayjobs.com/CaterpillarCareers/job/Tianjin-Tianjin/Accountant-Legal-Entity_R0000189967
compliance specialist-shanghai,2023/3/16,china,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/China/Compliance-Specialist-SHANGHAI_R-161638
ip paralegal,2023/3/16,united states of america,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Cambridge/IP-Paralegal_R18131
senior legal counsel,2023/3/16,canada,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Canada-Toronto/Senior-Legal-Counsel_R100666-1
"senior director, regulatory intelligence and quality standards lead, operations compliance readiness (ocr)",2023/3/17,united states of america,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers/job/United-States---Pennsylvania---Collegeville/Senior-Director--Regulatory-Intelligence-and-Quality-Standards-Lead--Operations-Compliance-Readiness--OCR-_4880853-1
legal editor,2023/3/17,malaysia,https://relx.wd3.myworkdayjobs.com/LexisNexisLegal/job/Malaysia/Legal-Editor_R57753
data privacy lead apac,2023/3/21,china,https://smithnephew.wd5.myworkdayjobs.com/External/job/CHN---Shanghai/Data-Privacy-Lead-APAC_R69904
market policy and development - assistant vice president,2023/3/22,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-34F/Market-Policy-and-Development---Assistant-Vice-President_R000192
ip specialist,2023/3/23,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Beijing-Changping/Trademark-Specialist_R17905
assist legal manager,2023/3/27,china,https://wd3.myworkdaysite.com/recruiting/mdlz/External/job/Shanghai-China/Assist-Legal-Manager_R-76763
"manager / sr. manager, healthcare compliance",2023/3/27,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/Manager---Sr-Manager--Healthcare-Compliance_R18263
legal manager,2023/3/27,china,https://galderma.wd3.myworkdayjobs.com/External/job/Shanghai/Legal-Manager_JR004971-1
senior government affairs manager,2023/3/27,china,https://galderma.wd3.myworkdayjobs.com/External/job/Shanghai/Senior-Government-Affairs-Manager_JR004705-1
(asso.) legal counsel,2023/3/28,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/XMLNAME--Asso--Legal-Counsel_R18272
legal counsel - privacy and data protection,2023/3/28,philippines,https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Manila-Philippines/Legal-Counsel---Privacy-and-Data-Protection_R-192415
corporate travel counselor,2023-03-24,hong kong,https://travelhrportal.wd1.myworkdayjobs.com/Jobs/job/Hong-Kong---Hong-Kong/Corporate-Travel-Counselor_J-59007
publishing business analyst,2023-03-17,china,https://frontiersin.wd3.myworkdayjobs.com/Frontiers/job/Beijing/Publishing-Business-Analyst_23REQ0233
commissioning specialist,2023-03-17,china,https://frontiersin.wd3.myworkdayjobs.com/Frontiers/job/Beijing/Submissions-Specialist_23REQ0136-1
editorial development manager,2023-03-15,china,https://frontiersin.wd3.myworkdayjobs.com/Frontiers/job/Shanghai/Editorial-Development-Manager_23REQ0297
commissioning specialist,2023-03-17,china,https://frontiersin.wd3.myworkdayjobs.com/Frontiers/job/Beijing/Submissions-Specialist_23REQ0169
associate - contract development,2023-03-27,united states of america,https://lilly.wd5.myworkdayjobs.com/LLY/job/US-Indianapolis-IN/Associate---Contract-Development_R-45504-1
